seed,nc_co,nc_tt,fst_co,fst_tt
49,4.0,2.0,0.018466239301173276,0.003934634347079753
50,4.0,2.0,0.03662920039102421,0.005392709409405882
51,3.0,2.0,0.024571479579307,0.004520998145825628
52,3.0,2.0,0.023935090972945616,0.009076703184621207
53,3.0,2.0,0.02341627239990115,0.006478076211763703
54,3.0,2.0,0.024246869047545368,0.0063993280234692414
55,4.0,3.0,0.03713398318313058,0.009002359427016077
56,3.0,2.0,0.024423605082009827,0.004677770778989901
57,3.0,2.0,0.018063648828717936,0.01248169025699554
58,3.0,2.0,0.011771675346748986,0.005166367558800313
59,2.0,3.0,0.0055096773669829876,0.0075133888872329704
60,4.0,2.0,0.03938767194448976,0.0077373009871875955
61,4.0,2.0,0.028406277936723463,0.0047424784193377985
62,3.0,2.0,0.012744449309485055,0.006322247353099051
63,4.0,2.0,0.026519338424783687,0.007802160525855767
64,2.0,2.0,0.0112120747443377,0.007694951969112336
65,3.0,2.0,0.018673451823817702,0.005566786580240543
66,3.0,2.0,0.016652921137031304,0.006084532103849518
67,3.0,2.0,0.01239989491273356,0.010446074956881796
68,4.0,2.0,0.030894346790918716,0.005089183808204799
69,4.0,2.0,0.019636228096597295,0.005128517663369594
70,3.0,2.0,0.02339775184575246,0.0065890404353545606
71,4.0,2.0,0.021144981847831756,0.005157957149641615
72,3.0,2.0,0.02647149515837962,0.006648855953258738
73,4.0,2.0,0.03610609961226036,0.004358587983555017
74,3.0,2.0,0.025023979788054786,0.006920428213954743
75,3.0,2.0,0.026650377785289645,0.005832045846461976
76,4.0,2.0,0.042658677941424965,0.005239148127994936
77,4.0,3.0,0.024435112974784193,0.007753505137157108
78,3.0,2.0,0.018875398621537663,0.00710339583217022
79,4.0,2.0,0.02407700277516819,0.007225627195110896
80,4.0,2.0,0.03196635322614162,0.007074932762892283
81,3.0,2.0,0.022662029056453398,0.006418541176719462
82,3.0,2.0,0.02242477886725505,0.005269802369028909
83,3.0,2.0,0.015847962218329775,0.005272053346540823
84,4.0,2.0,0.034630257630947535,0.004504864916235996
85,3.0,2.0,0.01602004745960786,0.004787511601908607
86,5.0,3.0,0.03622039031629421,0.007952725680048503
87,4.0,2.0,0.035745763920974304,0.003962326664010828
88,3.0,2.0,0.017875879767280164,0.006406270462220464
89,3.0,2.0,0.021265601458293464,0.005099497564776537
90,3.0,2.0,0.023631735666619594,0.00806520440229755
91,4.0,2.0,0.025284603507152777,0.00826842519712879
92,5.0,2.0,0.043389397703820325,0.003814102686398872
93,4.0,3.0,0.02891856062865844,0.008791080106649099
94,3.0,2.0,0.024612524023609132,0.00402538257505096
95,3.0,2.0,0.019796408615138598,0.004595175376667839
96,2.0,2.0,0.011493594266106995,0.006876100153089731
97,3.0,2.0,0.02022535274801215,0.006017423241641413
98,4.0,2.0,0.03144681309913967,0.007899341543121384
99,3.0,2.0,0.024941093354691767,0.004025242664739263
