len_km,mix,mu,seed,ncom,fst,rho
36.0000,0.0500,0.0060,2,2,0.024812,0.819923
36.0000,0.0500,0.0060,3,2,0.021938,0.776136
36.0000,0.0500,0.0060,4,2,0.024555,0.837986
36.0000,0.0500,0.0060,5,2,0.020333,0.919540
36.0000,0.0500,0.0060,6,3,0.032093,0.920635
36.0000,0.0500,0.0060,7,2,0.022581,0.771210
36.0000,0.0500,0.0060,8,2,0.024172,0.474548
36.0000,0.0500,0.0060,9,2,0.018506,0.709907
36.0000,0.0500,0.0060,10,2,0.015581,0.565955
36.0000,0.0500,0.0060,11,2,0.021406,0.751505
36.0000,0.0500,0.0120,0,2,0.013676,0.756979
36.0000,0.0500,0.0120,1,2,0.014734,0.571976
36.0000,0.0500,0.0120,2,2,0.013613,0.373290
36.0000,0.0500,0.0120,3,2,0.014434,0.645868
36.0000,0.0500,0.0120,4,2,0.014414,0.322934
36.0000,0.0500,0.0120,5,2,0.013290,0.573618
36.0000,0.0500,0.0120,6,2,0.009641,0.777778
36.0000,0.0500,0.0120,7,2,0.013433,0.500274
36.0000,0.0500,0.0120,8,2,0.011911,0.591133
36.0000,0.0500,0.0120,9,2,0.011228,0.477833
36.0000,0.0500,0.0120,10,2,0.015788,0.615216
36.0000,0.0500,0.0120,11,2,0.011366,0.679256
36.0000,0.0500,0.0240,0,1,nan,0.627805
36.0000,0.0500,0.0240,1,2,0.011637,0.402299
36.0000,0.0500,0.0240,2,2,0.004374,0.366721
36.0000,0.0500,0.0240,3,2,0.011003,0.383689
36.0000,0.0500,0.0240,4,2,0.008856,0.379310
36.0000,0.0500,0.0240,5,2,0.004843,0.475643
36.0000,0.0500,0.0240,6,2,0.008349,0.719759
36.0000,0.0500,0.0240,7,2,0.009219,0.112206
36.0000,0.0500,0.0240,8,2,0.009649,0.202518
36.0000,0.0500,0.0240,9,2,0.010143,0.382047
36.0000,0.0500,0.0240,10,2,0.009143,0.384236
36.0000,0.0500,0.0240,11,1,nan,0.306513
