seed,nc,prec,rec,fst_bo,jk0,jk1,jk2,jk3,jk4,jk5,jk6,jk7
12,2.0,0.09090909090909091,0.125,0.0048463375253065735,0.004567009470168531,0.00472530716077072,0.0019647201696498333,0.00886219232859654,0.005162592194950996,0.004796088135051663,0.0023985912771497713,0.0044326007280666956
13,2.0,0.12195121951219512,0.625,0.0039393385615535265,0.00366224792171381,0.003936015808834056,0.0031621819027278504,0.0031464185006820425,0.004067303678938972,0.0040150907608435945,0.002895915257577957,0.0038959329406602593
14,2.0,0.13333333333333333,0.75,0.005626108074742323,0.005851237915329973,0.0056569715803849625,0.005218731126723186,0.0023792160358451853,0.006974673026288441,0.005625796340354816,0.004527197087584761,0.00500630409603868
15,2.0,0.17073170731707318,0.875,0.0038702381847548384,0.0035995908884442897,0.0038363805990417185,0.003798363125342842,0.0031599419390494214,0.0042907961001657086,0.003944541367968307,0.003915295572214544,0.004213984909268538
16,2.0,0.18181818181818182,1.0,0.004675313166605881,0.004243559827566858,0.0045819683136062335,0.0043708012307595474,0.003303320442600534,0.005336912212750926,0.004702675499591232,0.003926156234121454,0.004595739137367189
17,2.0,0.1891891891891892,0.875,0.00479109937076767,0.0043445652545035535,0.004764759520721262,0.0029419755116758513,0.004514537074431879,0.005755728315866245,0.004912982655892016,0.004263935703733985,0.004029377655193138
18,2.0,0.19047619047619047,1.0,0.0047125554472480236,0.004371612829182427,0.004797814517096197,0.003383829592644821,0.004207657971552848,0.004893911601550938,0.00476194274651513,0.0037108890021515096,0.004422381314709537
19,2.0,0.17391304347826086,1.0,0.006854853274337855,0.0061307498892991304,0.007023596287825011,0.004490408472544942,0.004827159191792305,0.007036878994673664,0.006923628810734088,0.005719547675302727,0.006670601262251187
20,2.0,0.18181818181818182,1.0,0.00501077697377861,0.004492549356206516,0.005038963342628857,0.003880677942507097,0.0031076631215623406,0.005614654098335173,0.005027505911366546,0.004675040339061703,0.004912090697731497
21,2.0,0.17391304347826086,1.0,0.004991924393394605,0.005234980090190814,0.0048674419926198415,0.003742546916331644,0.002979487328888328,0.0053511339314248054,0.005028913978274292,0.005062795418116467,0.0051022665444526525
22,2.0,0.17777777777777778,1.0,0.005591561095564339,0.00500871629848881,0.005757448227327834,0.004853491356297478,0.004708155530772396,0.006292237640634694,0.005681840328206196,0.0037296558939586832,0.004735209766699978
23,2.0,0.19047619047619047,1.0,0.003624015694483389,0.0038225607535321607,0.003678500745967792,0.002638797448125565,0.002452217235767816,0.004456748304637157,0.003704779025519815,0.003618486011322497,0.0038666702899004136
24,2.0,0.16666666666666666,0.875,0.004506342526991657,0.003589822916403404,0.004409067043121346,0.0026439232327694247,0.0036298836259256798,0.004829320125925586,0.004539758357781344,0.004293541308219203,0.004740860660474201
25,2.0,0.1,0.25,0.004381359088656825,0.004683787050587673,0.004143450516296776,0.0032941149138365844,0.004265822167937061,0.0048691251419458285,0.004423911108934477,0.0027980724997729678,0.004107338056396444
